task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,avg_experience,juniors,mediors,seniors,tech_leads,predicted_duration_days
Testing,High,Senior,JavaScript,Critical,3,5,0,6,7,13,True,1,False,2.55,2,3,0,0,1.28457525
Refactoring,Low,Senior,Python,Medium,3,5,1,6,7,9,False,1,False,2.2,3,2,0,0,1.3167
Code Review,High,Mid,JavaScript,High,7,3,2,14,6,11,True,2,False,5.0,1,0,1,1,2.7490428
Design Review,High,Junior,Java,High,1,3,0,2,1,14,False,2,True,2.66666667,1,2,0,0,0.63162
Bug Fix,Medium,Senior,Go,High,13,2,3,26,3,10,False,3,True,3.625,1,0,1,0,5.24953997
Refactoring,Medium,Tech Lead,Python,Critical,8,3,0,16,2,12,False,0,False,5.58333333,0,1,1,1,2.12704
Feature Dev,Medium,Tech Lead,Go,High,12,2,3,24,3,11,True,2,False,2.375,1,1,0,0,5.05368281
Design Review,Medium,Tech Lead,JavaScript,Low,8,4,2,16,5,18,False,0,True,3.0625,3,0,0,1,3.80951484
Feature Dev,Low,Senior,C++,Critical,10,2,0,20,10,14,False,2,False,2.375,1,1,0,0,3.1694375
Design Review,Medium,Tech Lead,Go,Medium,11,3,0,22,5,13,True,2,True,4.16666667,1,1,0,1,4.50055375
Documentation,High,Senior,Python,Medium,10,2,2,20,9,14,False,3,False,4.5,0,1,1,0,4.4135
Refactoring,Low,Mid,JavaScript,Low,7,3,1,14,4,16,False,0,False,4.16666667,1,1,0,1,2.48788375
Design Review,High,Mid,C++,High,5,5,0,10,8,11,False,1,False,3.45,2,2,0,1,1.90323
Refactoring,High,Junior,Java,Low,12,5,3,24,6,13,True,3,True,3.55,2,1,2,0,6.90774725
Deployment,Medium,Junior,JavaScript,High,7,2,1,14,8,11,False,1,True,1.5,2,0,0,0,3.0949875
Deployment,High,Tech Lead,Other,Critical,11,2,0,22,8,16,True,0,False,3.25,0,2,0,0,4.23379688
Refactoring,Medium,Tech Lead,C++,High,13,2,2,26,7,17,True,2,False,4.5,0,1,1,0,4.57179188
Deployment,High,Mid,Python,Critical,10,3,0,20,2,9,False,2,False,5.0,1,0,1,1,3.19056
Code Review,Low,Junior,C++,Low,8,2,0,16,6,16,False,3,True,2.375,1,1,0,0,3.77565375
Code Review,High,Senior,Go,Low,12,4,1,24,5,14,True,1,False,5.625,0,1,2,1,5.04158078
Client Meeting,Medium,Junior,Java,Medium,1,3,0,2,4,11,False,1,False,2.08333333,2,1,0,0,0.5
Client Meeting,Medium,Tech Lead,Other,High,11,3,1,22,9,11,False,0,False,3.5,1,1,1,0,3.67423875
