task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,avg_experience,juniors,mediors,seniors,tech_leads,predicted_duration_days
Code Review,Medium,Tech Lead,Java,Critical,10,3,1,20,5,12,False,1,True,4.16666667,1,1,0,1,3.3660974
Testing,Medium,Tech Lead,C++,Medium,11,4,3,22,3,17,False,2,False,3.9375,1,2,0,1,4.33274219
Design Review,Low,Senior,Other,Medium,2,4,1,4,9,11,False,3,False,2.375,2,2,0,0,1.1480625
Code Review,High,Junior,Java,Low,4,2,2,8,2,13,False,1,False,3.25,0,2,0,0,2.31
Refactoring,Medium,Tech Lead,C++,Low,12,2,2,24,3,10,True,3,False,4.5,0,1,1,0,5.29365375
Client Meeting,Low,Mid,Other,High,9,3,1,18,5,16,False,1,False,1.5,3,0,0,0,3.219525
Feature Dev,Low,Mid,C++,Medium,2,2,3,4,4,17,True,2,False,1.5,2,0,0,0,1.4744625
Client Meeting,Medium,Mid,Java,Medium,5,4,0,10,4,9,False,0,True,3.0,2,1,1,0,2.0273
Refactoring,Low,Tech Lead,Other,Low,10,3,2,20,6,13,False,2,True,4.75,0,2,0,1,4.06491938
Code Review,Low,Mid,JavaScript,High,12,2,2,24,6,10,False,2,False,3.25,0,2,0,0,4.066875
Deployment,Medium,Senior,Other,Medium,9,2,3,18,9,13,False,0,False,4.5,0,1,1,0,3.4374375
Client Meeting,High,Tech Lead,Other,High,5,3,1,10,4,16,False,0,True,4.16666667,1,1,0,1,2.05460062
Code Review,Medium,Tech Lead,C++,Medium,8,2,0,16,10,16,False,2,False,1.5,2,0,0,0,3.485
Client Meeting,Low,Senior,Go,High,4,2,3,8,4,16,False,0,False,2.375,1,1,0,0,1.66910625
Refactoring,Medium,Tech Lead,Other,Critical,3,2,3,6,1,14,False,2,False,2.375,1,1,0,0,1.54301562
Code Review,Low,Junior,Other,High,12,4,2,24,8,15,False,1,False,2.375,2,2,0,0,4.16835
Deployment,High,Junior,Python,High,8,2,0,16,6,14,True,1,False,3.25,0,2,0,0,3.34884375
Refactoring,High,Tech Lead,JavaScript,Medium,11,3,2,22,10,13,False,2,False,3.25,0,3,0,0,5.2125
Deployment,Medium,Junior,JavaScript,Medium,4,3,3,8,1,13,False,1,False,2.66666667,1,2,0,0,2.07833333
Deployment,Medium,Tech Lead,Java,Medium,7,4,0,14,10,9,False,2,True,3.4375,1,2,1,0,2.97092813
Code Review,High,Junior,Other,Medium,10,5,1,20,5,10,False,2,False,3.05,2,2,1,0,4.54942125
Testing,High,Mid,Other,Critical,5,2,1,10,5,17,False,3,False,2.375,1,1,0,0,2.29367188
Client Meeting,Medium,Mid,C++,Medium,2,4,0,4,1,15,False,3,False,2.375,2,2,0,0,1.079375
Documentation,Low,Senior,Other,Critical,7,3,3,14,5,16,True,3,False,2.66666667,1,2,0,0,2.8211925
Testing,Medium,Mid,C++,Medium,1,4,2,2,8,13,False,1,False,2.8125,1,3,0,0,0.7675
Bug Fix,High,Senior,C++,Critical,2,4,0,4,9,18,True,3,True,3.9375,1,2,0,1,1.0276192
Design Review,Low,Mid,Other,High,7,5,2,14,10,13,False,3,False,3.1,3,1,0,1,2.520882
Deployment,High,Junior,Python,Low,2,4,1,4,6,15,True,3,True,3.0,2,1,1,0,1.60394908
Documentation,Medium,Tech Lead,C++,High,4,5,3,8,4,10,False,0,False,4.45,2,0,2,1,1.44089888
Client Meeting,Low,Tech Lead,JavaScript,Critical,2,3,3,4,6,12,False,2,True,2.66666667,1,2,0,0,1.23825167
Bug Fix,Medium,Tech Lead,Python,Low,2,2,2,4,2,9,False,3,True,3.625,1,0,1,0,1.50967163
Feature Dev,High,Senior,C++,Low,3,2,3,6,4,17,True,0,True,1.5,2,0,0,0,2.38314038
Documentation,High,Mid,Other,High,5,3,1,10,9,10,True,0,False,4.08333333,0,2,1,0,2.01185578
Bug Fix,Medium,Mid,C++,Critical,4,3,3,8,1,13,False,0,False,5.0,1,0,1,1,1.362635
Testing,Medium,Mid,Java,Low,10,2,3,20,6,9,False,0,False,3.625,1,0,1,0,4.36236281
Feature Dev,High,Junior,Other,Low,12,4,2,24,10,17,True,3,True,2.8125,1,3,0,0,7.45958194
Documentation,Low,Tech Lead,Java,Low,13,2,0,26,5,9,False,1,True,2.375,1,1,0,0,5.67535375
Documentation,Low,Junior,JavaScript,High,10,3,3,20,5,17,False,1,True,1.5,3,0,0,0,4.2112125
Feature Dev,High,Senior,C++,Medium,10,5,0,20,1,13,True,1,False,3.45,2,2,0,1,4.34835187
Feature Dev,High,Mid,Java,High,12,5,2,24,4,13,False,0,True,3.45,2,2,0,1,5.07686603
Bug Fix,High,Tech Lead,Java,Low,5,4,0,10,6,13,False,0,True,3.875,0,3,1,0,2.44643094
Testing,High,Tech Lead,Go,Critical,11,5,3,22,4,14,True,0,False,3.95,2,1,1,1,4.08314555
Testing,Medium,Mid,Other,High,10,2,3,20,4,18,False,3,False,3.625,1,0,1,0,3.80982656
Deployment,High,Mid,Other,High,3,4,3,6,6,11,True,2,False,3.4375,1,2,1,0,1.72705454
Bug Fix,Medium,Tech Lead,JavaScript,Medium,4,4,0,8,3,14,False,2,True,4.0625,1,1,2,0,1.66926375
Code Review,High,Tech Lead,Python,Critical,1,3,0,2,9,10,False,2,True,5.58333333,0,1,1,1,0.5
Design Review,Medium,Junior,C++,Medium,13,3,1,26,8,14,False,0,True,5.0,1,0,1,1,4.60207
Bug Fix,Medium,Mid,Python,Low,3,4,2,6,1,15,False,1,False,3.5,2,1,0,1,1.5466
Testing,Medium,Senior,C++,Low,12,4,3,24,3,12,True,2,True,1.9375,3,1,0,0,6.9458632
Feature Dev,Low,Tech Lead,Other,Low,11,3,2,22,8,10,False,0,False,2.08333333,2,1,0,0,4.666475
Refactoring,Medium,Mid,C++,Medium,12,4,0,24,9,18,False,1,False,3.9375,1,2,0,1,4.20404688
Bug Fix,Medium,Junior,JavaScript,Critical,7,4,2,14,8,17,False,3,True,1.9375,3,1,0,0,3.18893438
Design Review,High,Mid,JavaScript,Critical,3,2,2,6,3,10,True,2,True,3.25,0,2,0,0,1.73033438
Code Review,Low,Junior,JavaScript,High,4,3,0,8,10,14,True,3,False,3.58333333,2,0,0,1,1.43841994
Refactoring,Medium,Senior,Go,Low,2,5,1,4,10,17,False,3,False,2.2,3,2,0,0,1.36125
Code Review,High,Tech Lead,Python,Low,5,3,2,10,3,10,False,2,True,4.33333333,1,0,2,0,2.81316933
Deployment,Medium,Senior,Python,Medium,1,2,0,2,10,11,False,2,False,2.375,1,1,0,0,0.58875
Deployment,High,Mid,JavaScript,Low,13,3,0,26,4,14,False,0,False,2.66666667,1,2,0,0,6.35873333
Bug Fix,High,Senior,C++,Low,4,2,1,8,9,13,True,0,True,1.5,2,0,0,0,2.59150238
Design Review,Medium,Tech Lead,Java,Critical,2,5,3,4,8,12,True,0,True,2.35,4,0,1,0,1.16954037
Bug Fix,High,Mid,Other,Low,1,5,0,2,9,17,False,3,False,3.45,2,2,0,1,0.7366205
Bug Fix,High,Tech Lead,Other,High,8,4,0,16,9,11,False,0,False,2.8125,1,3,0,0,3.17745
Design Review,Medium,Mid,Python,High,3,4,0,6,9,15,True,2,True,4.0625,1,1,2,0,1.22690886
Code Review,Low,Junior,Go,Medium,10,2,3,20,9,11,False,0,False,2.375,1,1,0,0,3.9740625
Testing,High,Junior,Other,Medium,11,3,0,22,4,17,False,1,True,2.08333333,2,1,0,0,5.65235
Feature Dev,Medium,Junior,Other,Low,11,2,0,22,6,12,True,0,False,1.5,2,0,0,0,5.20905
Feature Dev,High,Junior,Other,Low,6,3,3,12,10,11,False,0,True,2.66666667,1,2,0,0,3.75463
Feature Dev,High,Mid,Python,High,1,4,3,2,5,15,False,3,False,3.0,2,1,1,0,1.0035135
Client Meeting,Medium,Senior,Other,Critical,2,4,0,4,10,12,False,3,False,3.0625,3,0,0,1,0.84106172
Testing,High,Junior,JavaScript,Low,4,4,3,8,6,16,True,3,False,2.375,2,2,0,0,2.93536031
Refactoring,Medium,Mid,Python,Medium,11,5,1,22,6,12,True,2,False,4.3,1,2,1,1,4.0608225
Feature Dev,Low,Junior,Java,Low,3,5,2,6,8,12,False,0,False,3.8,1,3,0,1,1.312311
Testing,Medium,Tech Lead,C++,Critical,6,3,3,12,4,16,True,1,False,2.66666667,1,2,0,0,2.5451125
Design Review,Medium,Senior,JavaScript,Medium,13,4,3,26,4,11,True,2,False,3.0,2,1,1,0,5.66031375
Client Meeting,High,Mid,Python,High,8,5,0,16,4,10,False,1,False,3.05,2,2,1,0,3.12669315
Refactoring,Low,Junior,Go,Medium,8,3,2,16,4,13,True,3,False,2.08333333,2,1,0,0,3.638775
Documentation,High,Mid,Other,Low,10,2,3,20,10,16,True,2,False,1.5,2,0,0,0,6.21534375
Refactoring,Medium,Junior,C++,Medium,13,4,2,26,6,14,False,0,False,4.5,0,2,2,0,4.52375
Documentation,High,Senior,Other,Medium,11,3,1,22,7,9,False,3,False,2.08333333,2,1,0,0,5.48704167
Code Review,Low,Tech Lead,Java,Critical,13,4,1,26,7,17,True,3,False,3.9375,1,2,0,1,3.92823137
Bug Fix,High,Tech Lead,Go,Critical,2,2,3,4,3,11,True,1,True,2.375,1,1,0,0,1.41611302
Refactoring,Low,Junior,Go,Low,1,2,0,2,2,17,True,1,False,2.375,1,1,0,0,0.52133813
Client Meeting,Medium,Senior,JavaScript,Medium,4,3,0,8,10,11,False,3,False,2.66666667,1,2,0,0,1.83666667
Deployment,High,Junior,Python,Low,12,4,3,24,6,16,True,0,True,2.8125,1,3,0,0,7.27674905
Feature Dev,Low,Tech Lead,Go,Medium,8,2,2,16,1,16,False,0,False,2.375,1,1,0,0,3.120375
Client Meeting,High,Senior,JavaScript,Low,2,3,3,4,1,12,True,1,True,4.16666667,1,1,0,1,1.58204248
Documentation,Medium,Senior,C++,High,13,4,3,26,2,12,False,0,False,3.625,2,0,2,0,4.39153313
Documentation,High,Senior,JavaScript,Medium,10,5,3,20,8,10,True,0,False,3.05,2,2,1,0,4.87339519
Documentation,Medium,Tech Lead,Other,Medium,11,3,1,22,5,14,True,1,True,2.08333333,2,1,0,0,5.34837188
Design Review,High,Senior,Java,High,9,4,0,18,9,12,False,3,False,5.625,0,1,2,1,3.022974
Design Review,High,Mid,JavaScript,High,3,5,0,6,9,16,False,3,False,3.9,1,2,2,0,1.2862584
Design Review,High,Junior,Other,Low,11,2,3,22,6,18,True,2,False,4.5,0,1,1,0,5.59754869
Refactoring,High,Junior,Other,Low,3,4,1,6,1,18,True,1,False,3.625,2,0,2,0,1.62590361
Code Review,High,Junior,Other,High,10,4,2,20,1,12,False,2,False,3.0,2,1,1,0,4.229685
Testing,Low,Mid,JavaScript,Critical,3,5,1,6,8,17,True,0,False,3.1,3,1,0,1,0.98552751
Documentation,High,Senior,Other,Medium,3,4,0,6,2,16,False,3,False,3.4375,1,2,1,0,1.5124725
Testing,Low,Mid,Other,Low,12,2,3,24,9,17,False,0,True,1.5,2,0,0,0,5.9159925
