task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,avg_experience,juniors,mediors,seniors,tech_leads,predicted_duration_days
Feature Dev,Low,Junior,Other,High,6,3,3,12,3,9,True,2,True,1.5,3,0,0,0,2.99401988
Design Review,Medium,Junior,Other,Low,12,2,2,24,7,14,False,2,True,4.5,0,1,1,0,5.44303375
Client Meeting,High,Senior,Java,Low,13,2,1,26,3,14,True,1,False,1.5,2,0,0,0,7.37554125
Design Review,Low,Mid,Other,Critical,10,2,3,20,6,15,True,2,False,1.5,2,0,0,0,3.88795312
Feature Dev,Medium,Junior,C++,Low,13,5,2,26,9,14,False,3,False,2.35,4,0,1,0,6.0802995
Refactoring,High,Senior,C++,Critical,2,5,2,4,7,10,True,0,True,3.4,1,3,1,0,1.08047674
Design Review,Medium,Junior,Other,Low,1,2,0,2,9,11,True,0,False,3.625,1,0,1,0,0.5
Client Meeting,Medium,Senior,C++,Medium,9,4,0,18,9,10,True,2,True,3.0,2,1,1,0,4.0444635
Bug Fix,Low,Senior,Other,Medium,3,4,2,6,9,17,False,1,False,3.5,2,1,0,1,1.30055
Code Review,Low,Junior,Python,Medium,4,4,0,8,3,17,False,0,False,3.5,2,1,0,1,1.2654
Documentation,High,Junior,JavaScript,Medium,6,3,3,12,9,16,False,1,False,4.91666667,0,1,2,0,2.65765417
Documentation,Low,Mid,Python,Critical,6,2,1,12,2,14,False,0,False,1.5,2,0,0,0,2.0125875
Feature Dev,Medium,Senior,Java,Low,10,5,0,20,9,13,True,2,False,3.55,2,1,2,0,4.20654465
Feature Dev,High,Senior,Go,Low,10,2,0,20,8,12,True,2,False,2.375,1,1,0,0,5.44005
Bug Fix,Medium,Junior,Python,High,4,2,1,8,2,14,True,0,True,5.75,0,0,2,0,1.45348088
Feature Dev,Medium,Tech Lead,Other,High,7,5,2,14,2,15,False,0,False,3.6,3,0,1,1,2.361456
Refactoring,Medium,Junior,C++,Critical,3,3,0,6,2,12,True,0,True,2.08333333,2,1,0,0,1.17319125
Refactoring,Medium,Mid,JavaScript,Medium,2,3,1,4,9,17,True,1,True,2.66666667,1,2,0,0,1.172325
Design Review,High,Mid,Other,Low,10,4,0,20,3,16,True,0,False,4.125,2,0,1,1,4.36861425
Feature Dev,Low,Senior,Java,Low,4,3,1,8,4,10,False,2,False,3.58333333,2,0,0,1,1.72246479
Deployment,Medium,Tech Lead,JavaScript,Medium,11,2,3,22,8,12,True,0,True,2.375,1,1,0,0,5.49671719
Client Meeting,Medium,Junior,Java,High,6,3,3,12,7,16,False,1,False,2.91666667,2,0,1,0,2.45731312
Bug Fix,Medium,Tech Lead,C++,Critical,2,5,2,4,1,10,False,3,True,2.55,2,3,0,0,1.2730025
Documentation,Low,Senior,Go,Low,3,3,2,6,5,15,False,1,False,2.08333333,2,1,0,0,1.62121667
Testing,High,Senior,Java,Critical,3,5,3,6,9,9,False,3,False,3.05,2,2,1,0,1.66398529
Bug Fix,High,Tech Lead,Java,Low,5,5,3,10,4,9,False,2,False,3.55,2,1,2,0,2.81390175
Refactoring,High,Senior,JavaScript,High,9,5,3,18,9,15,True,0,True,4.8,1,1,2,1,3.65195685
